iter	Accuracy	MultiClass
616	0.9441165844	0.1678441568
617	0.9441165844	0.167714435
618	0.943996146	0.1676446188
619	0.9442370228	0.1675443521
620	0.944297242	0.1674558445
621	0.944297242	0.1673114289
622	0.9443574612	0.1670618063
623	0.944297242	0.1669608256
624	0.9443574612	0.1668396588
625	0.9444176804	0.1666433051
626	0.9446585571	0.1664426721
627	0.9449596531	0.1663151186
628	0.944598338	0.1661712253
629	0.9447789955	0.166093344
630	0.9448392147	0.1660448737
631	0.9448994339	0.1659418777
632	0.9448994339	0.1658783429
633	0.9446585571	0.1658040716
634	0.9446585571	0.165607067
635	0.9447789955	0.1654849032
636	0.9448994339	0.1654291557
637	0.9448994339	0.1653068955
638	0.9448994339	0.1652031713
639	0.9447789955	0.1651190758
640	0.9447789955	0.1649438201
641	0.9448994339	0.1648316069
642	0.9448994339	0.1647613236
643	0.9450800915	0.1646065963
644	0.9452005299	0.1645117894
645	0.9452607491	0.1644009857
646	0.9452005299	0.1643547268
647	0.9452005299	0.1642314662
648	0.9451403107	0.1641412453
649	0.9451403107	0.1640860634
650	0.9451403107	0.1640251703
651	0.9450800915	0.1639021471
652	0.9452005299	0.1638048958
653	0.9456220643	0.1636686945
654	0.9456220643	0.1635598406
655	0.9455016259	0.1634743939
656	0.9453811875	0.163367007
657	0.9453209683	0.1632947679
658	0.9455016259	0.1631374164
659	0.9455016259	0.1630754711
660	0.9456822835	0.1629731743
661	0.9456822835	0.1628218116
662	0.9459231603	0.162636881
663	0.9456220643	0.1624689664
664	0.9456822835	0.1623263598
665	0.9458027219	0.1621975104
666	0.9458027219	0.1620468147
667	0.9458629411	0.1619036888
668	0.9456822835	0.1618156463
669	0.9459231603	0.16173234
670	0.9460435987	0.161659434
671	0.9462242563	0.1615997768
672	0.9462844755	0.1614636049
673	0.9462844755	0.1613536275
674	0.9461640371	0.1613082186
675	0.9462242563	0.1612344898
676	0.9464651331	0.1610688325
677	0.9463446947	0.1609445112
678	0.9465855715	0.1608287284
679	0.9470071059	0.160703876
680	0.9470071059	0.160515802
681	0.9468866675	0.1604196144
682	0.9468264483	0.1603203914
683	0.9468264483	0.1602412631
684	0.9468264483	0.1601045826
685	0.9467662291	0.1599981237
686	0.9466457907	0.1599184699
687	0.9468866675	0.1598508388
688	0.9469468867	0.1597327596
689	0.9471275443	0.1595977666
690	0.9472479827	0.1595211294
691	0.9470673251	0.1594400998
692	0.9472479827	0.1593194832
693	0.9473684211	0.1592303088
694	0.9472479827	0.159162985
695	0.9473684211	0.1590851199
696	0.9475490786	0.1589809976
697	0.9474286403	0.1588700964
698	0.9477899554	0.1586092536
699	0.9480308322	0.1585298386
700	0.947970613	0.1584973015
701	0.947970613	0.1583760677
702	0.947970613	0.158308919
703	0.9481512706	0.1581780058
704	0.9478501746	0.1580159815
705	0.9481512706	0.1578995803
706	0.9481512706	0.1578068398
707	0.9480308322	0.1577379976
708	0.9480308322	0.1576527308
709	0.9483319282	0.1575526556
710	0.948271709	0.1574739134
711	0.9484523666	0.1574054911
712	0.9485125858	0.1573164686
713	0.9486932434	0.1571599861
714	0.948572805	0.1570414132
715	0.9485125858	0.1569601406
716	0.9486932434	0.1568404338
717	0.9489341202	0.1567502914
718	0.9490545586	0.1565939834
719	0.9489943394	0.1564770989
720	0.9490545586	0.1563840852
721	0.9490545586	0.1563049931
722	0.9492954354	0.1562186162
723	0.9492352162	0.1561431879
724	0.9492352162	0.1560408164
725	0.9492352162	0.1559528755
726	0.9493556546	0.1558621575
727	0.9492352162	0.1557976673
728	0.9491147778	0.1557185174
729	0.9493556546	0.1555676276
730	0.949476093	0.1554716788
731	0.9495965314	0.1553834088
732	0.9500180658	0.1552920448
733	0.950078285	0.1551377773
734	0.9500180658	0.1551014446
735	0.9498374082	0.1549757535
736	0.9500180658	0.1548679338
737	0.9501385042	0.1547028252
738	0.9500180658	0.1546329637
739	0.9498374082	0.1544686725
740	0.9499578466	0.1543609098
741	0.950078285	0.1542648301
742	0.950078285	0.154111756
743	0.950078285	0.1540438636
744	0.9501987234	0.1539111161
745	0.9500180658	0.1538249302
746	0.9498976274	0.1537017535
747	0.9501385042	0.1535712942
748	0.9501385042	0.1534201266
749	0.9501987234	0.1532423995
750	0.9502589426	0.1531040281
751	0.9502589426	0.1530405222
752	0.9502589426	0.1528829319
753	0.9502589426	0.1527943495
754	0.9504998193	0.1527340138
755	0.9503793809	0.1526118989
756	0.9504396001	0.1525809671
757	0.9504396001	0.1525155067
758	0.9504396001	0.1524866861
759	0.9504396001	0.1523907868
760	0.9504396001	0.1522519666
761	0.9505600385	0.152103462
762	0.9506202577	0.1520036197
763	0.9506202577	0.1519676411
764	0.9506202577	0.1518811564
765	0.9506804769	0.1517384034
766	0.9506804769	0.1516746483
767	0.9508009153	0.1516124058
768	0.9507406961	0.1515388072
769	0.9510417921	0.1514920654
770	0.9509213537	0.1514572488
771	0.9508611345	0.151353698
772	0.9509213537	0.1512795401
773	0.9511020113	0.1511846095
774	0.9512224497	0.1511085662
775	0.9511020113	0.1510033448
776	0.9511622305	0.1509016508
777	0.9514031073	0.1508045071
778	0.9514031073	0.1506361788
779	0.9514633265	0.1505367955
780	0.9515837649	0.1504462937
781	0.9515837649	0.150327301
782	0.9515837649	0.1501450131
783	0.9517042033	0.1500835262
784	0.9517644225	0.1500028797
785	0.9518246417	0.1498715454
786	0.9520052993	0.1497651651
787	0.9518848609	0.1496491953
788	0.9519450801	0.1495422285
789	0.9520655185	0.1494882102
790	0.9521257377	0.1493913272
791	0.9521257377	0.1492645013
792	0.9521257377	0.1491994395
793	0.9520655185	0.1491025557
794	0.9521257377	0.1489375075
795	0.9520655185	0.1488138423
796	0.9521257377	0.1487120353
797	0.9522461761	0.1486342938
798	0.9523063953	0.1485609708
799	0.9523063953	0.1485079123
800	0.9522461761	0.1483991006
801	0.9525472721	0.148242773
802	0.9526074913	0.148125684
803	0.9527881489	0.1480655989
804	0.9528483681	0.1480081849
